HillaryClinton|740396544403378176|20719|7384|2016-06-08 04:14:26|Don’t let anyone tell you that great things can’t happen in America. https://t.co/dtgjwmcfMm
HillaryClinton|740392317127921665|0|10787|2016-06-08 03:57:38|RT @billclinton: I keep saying Hillary is the ultimate changemaker, and tonight she proved it. I couldn't be more proud. History made. #ImW…
HillaryClinton|740389964882403328|10278|4454|2016-06-08 03:48:18|"Don’t let anyone tell you great things can’t happen in America. Barriers can come down. Justice &amp; equality can win.
https://t.co/5xcwapDvPJ"
HillaryClinton|740382449566375936|5606|1578|2016-06-08 03:18:26|Text CONGRATS to 47246 to tell Hillary you're proud to be by her side all the way to the White House. https://t.co/bBCd6SF3Vf
HillaryClinton|740379623968608257|16064|5356|2016-06-08 03:07:12|Thank you. https://t.co/JeMUyYFlzJ
HillaryClinton|740375119684591616|4229|1404|2016-06-08 02:49:18|We made history tonight—but we have more work to do. Chip in if you've got Hillary's back: https://t.co/iQy1FYwUkM
HillaryClinton|740373403283099648|8178|3302|2016-06-08 02:42:29|"""This campaign is about making sure there are no ceilings—no limits—on any of us."" —Hillary #ImWithHer https://t.co/HtFmnfoJxc"
HillaryClinton|740373188220178433|17682|4461|2016-06-08 02:41:38|Wish Mom could have been here to see tonight. https://t.co/NalmZoKoV7
HillaryClinton|740372974939852800|7571|2348|2016-06-08 02:40:47|"""On the very day Mom was being born in Chicago, Congress was passing the 19th Amendment to the Constitution—giving women the right to vote."""
HillaryClinton|740372636014895105|7021|3642|2016-06-08 02:39:26|"""We are stronger when we respect each other, listen to each other, and act with a sense of common purpose."" —Hillary"
HillaryClinton|740372092630237184|11363|3683|2016-06-08 02:37:16|This election isn’t about the same old fights between Democrats and Republicans—it’s about who we are as Americans. https://t.co/uHSSsV1S1k
HillaryClinton|740371772248346624|5284|2483|2016-06-08 02:36:00|We should lift each other up—not tear each other down. To be great, we can’t be small. We have to be as big as the values that define us.
HillaryClinton|740371436439777280|16179|7207|2016-06-08 02:34:40|Unity is better than division, empowerment is better than resentment, and bridges are better than walls. https://t.co/FZbfs0Fc72
HillaryClinton|740371207686606848|5644|2404|2016-06-08 02:33:46|“Donald Trump is temperamentally unfit to be president and Commander-in-Chief.” —Hillary
HillaryClinton|740370706534436864|6632|2642|2016-06-08 02:31:46|"It’s a simple but powerful idea. 

We are fairer together. 

We are better together. 

We are stronger together. https://t.co/aWCQon5U7q"
HillaryClinton|740370424270360576|6227|2633|2016-06-08 02:30:39|"""Whether you supported me in this primary, or Senator Sanders, we all need to keep working toward that better, fairer, stronger America."""
HillaryClinton|740370257722892288|4832|1585|2016-06-08 02:29:59|"""As your president, I will always have your back."" —Hillary"
HillaryClinton|740369896001900544|4892|1645|2016-06-08 02:28:33|We reached this moment thanks to the struggle and sacrifice of generations of women and men before us.
HillaryClinton|740369557173481472|33757|16553|2016-06-08 02:27:12|For the first time in our history, a woman will be a major party’s nominee for President of the United States. https://t.co/4iLojpuPj8
HillaryClinton|740369312289001472|1502|544|2016-06-08 02:26:14|Watch live as Hillary takes the stage in Brooklyn → https://t.co/zT8EJNcBoc
HillaryClinton|740362260154044417|0|5228|2016-06-08 01:58:12|RT @ChelseaClinton: So proud of you, Mom &amp; grateful little girls can grow up knowing they can run for president  https://t.co/jgM7RbUAKQ
HillaryClinton|740360628976668672|14315|4576|2016-06-08 01:51:43|Ready. https://t.co/y6qupOwX9K
HillaryClinton|740357930839625728|4172|1425|2016-06-08 01:41:00|Thanks to you, we made history tonight. Celebrate with a free magnet: https://t.co/87M0j1zqrg
HillaryClinton|740355614661070848|8802|2591|2016-06-08 01:31:48|Tonight's only possible because millions of organizers, volunteers, and donors fought for this campaign. Thank you. https://t.co/UiFAGLR7Sf
HillaryClinton|740352924203798528|22327|10287|2016-06-08 01:21:06|Tonight, we can say with pride that, in America, there is no barrier too great and no ceiling too high to break. https://t.co/7vbGPJe543
HillaryClinton|740349871073398785|69469|37845|2016-06-08 01:08:58|To every little girl who dreams big: Yes, you can be anything you want—even president. Tonight is for you. -H https://t.co/jq7fKlfwGV
HillaryClinton|740314992931569664|7020|3821|2016-06-07 22:50:23|"Let's build an America that respects and embraces the potential of every last one of us.
https://t.co/q9iPKDnnpI"
HillaryClinton|740262923398828032|5696|2200|2016-06-07 19:23:29|"""Although we weren't able to shatter that highest, hardest glass ceiling...it's got about 18 million cracks in it.""
https://t.co/cfLG7O1hwk"
HillaryClinton|740230947816235009|8724|3545|2016-06-07 17:16:25|Eight years ago today. https://t.co/ZAHXdKbgHV
HillaryClinton|740195669709860864|1962|1047|2016-06-07 14:56:14|Hoy es tu día de votar por Hillary. RT esto y déjale saber a tus amigos: #EstoyConElla https://t.co/YMh9aZEgDX
HillaryClinton|740181574277287936|7993|4441|2016-06-07 14:00:13|CA, MT, NJ, NM, ND, and SD, it's your day to head to the polls. RT this if you’re voting for Hillary. https://t.co/nu3VCKSuBz
HillaryClinton|740163207189430272|0|1436|2016-06-07 12:47:14|"RT @ABCPolitics: WATCH: @NancyPelosi tells @GMA she voted for @HillaryClinton in the #CAPrimary and is ""proud to endorse her"" https://t.co/…"
